Mun Nombre,Mun Id,coordenadas_colombia.latitud,coordenadas_colombia.longitud
GUACHETA,25317,5.4166667,'-73.7
GUACHUCAL,52317,1,'-77.75
GUADALAJARA DE BUGA,76111,3.9022222,'-76.3027778
GUADALUPE,41319,2.0833333,'-75.6666667
GUADALUPE,5315,6.8175,'-75.2441667
GUADALUPE,68320,6.3,'-73.3333333
GUADUAS,25320,5.25,'-74.6666667
GUAITARILLA,52320,1.15,'-77.5
GUALMATAN,52323,0.8333333,'-77.5833333
GUAMAL,47318,9.25,'-74.1666667
GUAMAL,50318,3.9166667,'-74.0
GUAMO,73319,4.0833333,'-74.9166667
GUAPI,19318,2.4166667,'-77.6
GUAPOTA,68322,6.3833333,'-73.25
GUARANDA,70265,8.4697222,'-75.5383333
GUARNE,5318,6.25,'-75.4166667
GUASCA,25322,4.8333333,'-73.8333333
GUATAPE,5321,6.25,'-75.1666667
GUATAQUI,25324,4.5833333,'-74.8
GUATAVITA,25326,4.9666667,'-73.75
GUATEQUE,15322,5.0833333,'-73.5
GUATICA,66318,5.3333333,'-75.8333333
GUAVATA,68324,6,'-73.65
GUAYABAL DE SIQUIMA,25328,4.8813889,'-74.4702778
GUAYABETAL,25335,4.2163889,'-73.8133333
GUAYATA,15325,5,'-73.5
GUEPSA,68327,6.0833333,'-73.5
GUICAN,15332,6.75,'-72.1666667
GUTIERREZ,25339,4.25,'-74.0
HACARI,54344,8.5,'-73.0833333
HATILLO DE LOBA,13300,8.9586111,'-74.0808333
HATO,68344,6.5833333,'-73.3333333
HATO COROZAL,85125,6.1555556,'-71.7655556
HATONUEVO,44378,11.0694444,'-72.7669444
HELICONIA,5347,6.2333333,'-75.75
HERRAN,54347,7.5,'-72.4666667
HERVEO,73347,5.0833333,'-75.1666667
HISPANIA,5353,5.8025,'-75.9116667
HOBO,41349,2.5833333,'-75.5
HONDA,73349,5.25,'-74.8333333
IBAGUE,73001,4.4388889,'-75.2322222
ICONONZO,73352,4.1666667,'-74.55
ILES,52352,0.95,'-77.5333333
IMUES,52354,1.05,'-77.5
INIRIDA,94001,3.8652778,'-67.9238889
INZA,19355,2.6666667,'-76.0833333
IPIALES,52356,0.8302778,'-77.6444444
IQUIRA,41357,2.75,'-75.75
ISNOS,41359,2.0833333,'-76.25
ITAGUI,5360,6.1719444,'-75.6113889
ITUANGO,5361,7.25,'-76.0
IZA,15362,5.6666667,'-72.9166667
JAMBALO,19364,2.85,'-76.3166667
JAMUNDI,76364,3.1666667,'-76.5833333
JARDIN,5364,5.5833333,'-75.8333333
JENESANO,15367,5.3888889,'-73.3680556
JERICO,15368,6.2,'-72.5833333
JERICO,5368,5.75,'-75.75
JERUSALEN,25368,4.6666667,'-74.6666667
JESUS MARIA,68368,5.9166667,'-73.8333333
JORDAN,68370,6.75,'-73.0666667
JUAN DE ACOSTA,8372,,
